ebsd_id,mesh_id,confidence
1,1,100.0
5,2,95.0
6,3,100.0
7,4,98.24
8,5,94.47
9,6,96.97
10,7,100.0
11,8,99.43
12,9,100.0
13,10,94.0
14,11,100.0
15,12,100.0
16,13,92.83
17,14,100.0
19,15,94.67
20,16,100.0
21,17,97.25
22,18,90.42
23,19,95.71
24,20,92.5
25,21,99.09
26,22,100.0
27,23,96.36
28,24,96.43
29,25,98.75
30,26,96.3
31,27,94.79
32,28,92.59
33,29,100.0
34,30,100.0
35,31,96.6
36,32,98.39
37,33,100.0
38,34,94.04
39,35,95.47
40,36,94.67
41,37,90.61
42,38,100.0
43,39,91.2
44,40,100.0
45,41,96.77
46,42,94.05
47,43,100.0
48,44,100.0
49,45,98.86
50,46,95.42
51,47,100.0
52,48,100.0
53,49,98.57
54,50,96.88
55,51,89.29
56,52,95.1
57,53,96.43
58,54,97.41
59,55,86.67
60,56,96.36
61,57,98.25
62,58,100.0
63,59,99.02
64,60,93.58
65,61,100.0
66,62,96.72
67,63,97.06
68,64,100.0
69,65,87.27
70,66,95.07
71,67,97.78
72,68,90.86
73,69,100.0
74,70,94.34
75,71,100.0
76,72,98.49
77,73,97.37
78,74,98.15
79,75,99.11
80,76,95.76
81,77,97.33
82,78,97.04
83,79,98.08
84,80,100.0
85,81,97.96
86,82,94.67
87,83,96.43
88,84,92.77
89,85,96.33
90,86,100.0
91,87,100.0
92,88,97.5
93,89,94.19
95,90,96.43
96,91,95.12
97,92,98.6
99,93,100.0
100,94,97.44
101,95,97.74
102,96,100.0
103,97,94.57
104,98,97.68
105,99,96.15
106,100,100.0
107,101,100.0
108,102,91.22
109,103,100.0
110,104,89.4
111,105,100.0
112,106,95.59
113,107,96.88
114,108,98.1
115,109,100.0
116,110,93.75
117,111,100.0
118,112,100.0
119,113,94.49
120,114,97.44
121,115,86.43
122,116,95.88
123,117,97.14
124,118,100.0
125,119,100.0
126,120,100.0
127,121,94.0
128,122,97.36
129,123,98.34
130,124,93.85
131,125,88.89
132,126,100.0
133,127,100.0
134,128,95.56
135,129,96.67
136,130,100.0
137,131,92.82
138,132,96.25
139,133,98.64
140,134,97.73
141,135,97.27
142,136,91.37
143,137,96.55
144,138,95.65
145,139,82.35
146,140,91.59
147,141,94.74
148,142,95.12
149,143,87.47
150,144,100.0
151,145,96.55
152,146,94.59
153,147,100.0
154,148,96.11
155,149,95.81
156,150,100.0
157,151,100.0
158,152,100.0
159,153,100.0
160,154,85.71
161,155,100.0
162,156,92.5
163,157,89.6
164,158,93.2
165,159,92.5
166,160,91.11
167,161,94.67
168,162,100.0
169,163,94.12
171,164,90.91
172,165,96.3
173,166,94.55
174,167,96.3
175,168,100.0
176,169,96.09
177,170,100.0
178,171,97.94
179,172,94.0
180,173,97.14
181,174,98.6
182,175,99.13
183,176,95.6
184,177,96.0
185,178,98.31
186,179,95.83
187,180,100.0
188,181,98.31
189,182,100.0
190,183,93.45
191,184,96.25
192,185,92.73
193,186,100.0
194,187,100.0
195,188,100.0
196,189,94.85
197,190,97.73
198,191,96.53
199,192,96.43
200,193,86.36
201,194,99.13
202,195,96.61
203,196,99.09
204,197,100.0
205,198,90.59
206,199,100.0
207,200,94.11
208,201,99.34
209,202,97.5
210,203,100.0
211,204,93.14
212,205,94.23
213,206,95.41
214,207,100.0
215,208,97.71
216,209,91.98
217,210,90.93
218,211,94.74
219,212,93.46
220,213,100.0
221,214,100.0
222,215,95.69
223,216,92.77
224,217,97.27
225,218,100.0
226,219,95.12
227,220,93.33
228,221,100.0
229,222,100.0
230,223,96.6
231,224,100.0
232,225,100.0
233,226,90.61
234,227,93.0
235,228,96.52
236,229,100.0
237,230,99.2
238,231,100.0
239,232,100.0
240,233,96.43
241,234,100.0
242,235,99.6
243,236,95.77
244,237,96.52
245,238,92.5
246,239,94.93
247,240,99.39
248,241,91.16
249,242,95.77
250,243,100.0
251,244,98.79
252,245,96.54
253,246,100.0
254,247,92.98
255,248,95.29
256,249,95.65
257,250,94.29
258,251,100.0
259,252,97.4
260,253,93.08
261,254,100.0
262,255,100.0
263,256,95.45
264,257,96.42
265,258,94.48
266,259,100.0
267,260,90.48
268,261,100.0
269,262,93.49
270,263,99.3
271,264,96.58
272,265,92.14
273,266,93.33
274,267,96.32
275,268,94.58
276,269,94.78
277,270,96.97
278,271,94.9
279,272,96.43
280,273,100.0
281,274,98.0
282,275,100.0
283,276,96.3
284,277,100.0
285,278,100.0
286,279,98.4
287,280,100.0
288,281,96.25
289,282,100.0
291,283,86.67
292,284,98.7
293,285,91.58
294,286,95.8
295,287,93.33
296,288,100.0
297,289,95.65
299,290,96.8
300,291,100.0
302,292,97.39
303,293,96.6
304,294,100.0
306,295,94.9
308,296,93.91
309,297,95.48
312,298,98.08
313,299,100.0
315,300,100.0
100001,301,100.0
100002,302,100.0
