ebsd_id,mesh_id,confidence
3,1,84.09
4,2,100.0
5,3,100.0
6,4,100.0
7,5,89.58
8,6,95.83
9,7,97.73
10,8,92.86
12,9,92.31
15,10,96.15
16,11,91.53
17,12,100.0
18,13,100.0
19,14,94.74
20,15,100.0
21,16,100.0
22,17,100.0
23,18,100.0
24,19,100.0
25,20,96.53
26,21,90.91
27,22,90.0
29,23,100.0
30,24,88.64
31,25,95.95
33,26,96.15
34,27,94.68
35,28,94.74
36,29,100.0
37,30,95.63
38,31,100.0
39,32,100.0
40,33,95.71
41,34,80.77
42,35,90.0
43,36,100.0
44,37,100.0
45,38,100.0
46,39,100.0
47,40,95.9
48,41,100.0
50,42,96.88
51,43,96.55
52,44,100.0
53,45,93.33
55,46,94.34
56,47,100.0
57,48,88.64
58,49,71.43
59,50,93.14
61,51,100.0
62,52,85.71
64,53,86.49
65,54,91.89
66,55,100.0
67,56,100.0
68,57,100.0
69,58,100.0
70,59,81.82
73,60,94.57
74,61,100.0
75,62,87.8
76,63,100.0
77,64,91.86
78,65,100.0
79,66,100.0
80,67,100.0
81,68,82.81
82,69,93.75
84,70,95.24
85,71,100.0
86,72,95.83
88,73,94.44
89,74,96.97
90,75,100.0
91,76,100.0
92,77,90.38
93,78,92.86
95,79,94.12
96,80,100.0
97,81,100.0
98,82,96.05
99,83,100.0
100,84,97.56
101,85,91.67
102,86,92.83
103,87,88.1
104,88,91.18
105,89,89.29
107,90,92.86
108,91,96.43
109,92,91.3
111,93,100.0
112,94,88.39
113,95,94.61
114,96,97.13
115,97,78.57
116,98,90.91
118,99,100.0
119,100,87.04
120,101,94.92
122,102,100.0
123,103,89.06
124,104,100.0
125,105,94.74
126,106,87.93
127,107,96.47
128,108,100.0
130,109,100.0
131,110,95.59
132,111,87.5
134,112,96.88
135,113,100.0
136,114,83.93
137,115,96.43
138,116,89.1
139,117,100.0
140,118,100.0
142,119,97.92
143,120,100.0
144,121,100.0
145,122,100.0
146,123,92.31
147,124,100.0
148,125,100.0
149,126,84.68
150,127,100.0
151,128,100.0
153,129,100.0
154,130,90.91
155,131,100.0
156,132,100.0
157,133,100.0
160,134,100.0
162,135,100.0
163,136,95.77
165,137,96.67
166,138,86.3
167,139,98.0
168,140,100.0
169,141,95.45
170,142,88.1
171,143,88.89
172,144,100.0
173,145,100.0
174,146,94.16
175,147,97.14
176,148,90.74
177,149,100.0
178,150,90.62
179,151,100.0
180,152,94.44
181,153,90.91
182,154,100.0
183,155,100.0
184,156,88.24
185,157,93.1
186,158,93.55
187,159,100.0
188,160,96.15
189,161,95.31
190,162,100.0
191,163,99.11
192,164,100.0
193,165,100.0
194,166,90.91
195,167,90.0
196,168,100.0
197,169,100.0
198,170,100.0
200,171,100.0
201,172,100.0
202,173,85.37
203,174,97.06
204,175,97.22
205,176,100.0
206,177,100.0
207,178,94.74
208,179,92.08
209,180,96.67
210,181,91.56
211,182,83.33
212,183,95.1
214,184,100.0
215,185,100.0
217,186,95.31
218,187,100.0
219,188,83.33
220,189,97.5
221,190,100.0
222,191,96.12
223,192,100.0
224,193,100.0
225,194,100.0
227,195,94.23
228,196,100.0
229,197,87.5
230,198,100.0
231,199,100.0
232,200,100.0
233,201,87.68
234,202,90.62
235,203,98.18
236,204,100.0
237,205,100.0
239,206,92.24
240,207,97.92
241,208,80.88
242,209,87.65
243,210,90.23
244,211,97.5
245,212,92.31
246,213,96.3
247,214,100.0
248,215,95.65
249,216,89.47
250,217,78.95
251,218,100.0
253,219,100.0
254,220,84.48
256,221,98.39
257,222,98.0
258,223,100.0
259,224,89.52
260,225,90.91
261,226,92.55
262,227,90.28
264,228,92.55
265,229,95.83
266,230,98.68
267,231,100.0
268,232,92.35
270,233,92.31
271,234,100.0
272,235,96.88
273,236,93.33
274,237,100.0
275,238,100.0
276,239,100.0
278,240,100.0
279,241,100.0
280,242,100.0
282,243,91.18
283,244,85.59
284,245,97.44
285,246,94.0
286,247,86.36
287,248,98.55
288,249,95.24
289,250,85.0
291,251,92.31
292,252,100.0
294,253,98.61
295,254,100.0
296,255,100.0
297,256,100.0
299,257,100.0
300,258,93.33
303,259,96.05
100001,260,100.0
100002,261,100.0
