ebsd_1,ebsd_2
27,33
37,44
44,9
45,7
47,8
48,16
51,12
55,14
59,19
65,20
69,11
72,10
79,21
81,24
83,22
90,27
92,31
95,26
96,25
104,38
106,51
110,36
113,37
114,47
117,41
120,43
122,29
128,35
130,46
136,73
142,79
145,49
153,50
164,72
165,56
169,13
174,58
181,59
188,63
198,70
200,64
203,67
204,69
209,74
214,78
215,76
217,83
220,81
232,88
247,82
248,89
249,61
251,87
260,92
269,97
272,66
273,99
275,100
277,101
281,102
283,103
284,104
287,110
291,109
293,114
294,112
301,111
303,115
305,77
306,165
307,118
310,116
311,108
312,119
314,125
317,120
320,123
327,128
328,130
331,129
335,126
341,40
344,134
345,139
348,137
354,138
361,140
365,141
366,146
368,142
373,147
377,96
378,152
381,148
382,149
393,155
407,158
413,85
414,204
421,154
423,164
425,153
428,176
430,159
431,166
433,167
434,161
438,143
444,169
447,173
452,185
453,186
456,178
457,180
458,183
460,194
461,179
462,181
465,52
468,188
470,193
471,122
483,189
484,190
489,192
492,198
493,197
497,195
500,196
503,199
508,202
514,203
519,277
521,208
523,227
524,207
527,209
528,279
529,213
534,211
536,212
540,217
543,245
545,222
548,219
560,226
562,223
563,230
568,228
572,231
573,237
576,234
579,246
583,238
586,239
587,233
588,241
589,247
592,242
599,216
600,243
603,240
606,287
608,248
610,249
613,252
616,250
617,251
620,253
635,255
636,254
638,257
639,258
640,259
642,262
650,264
651,265
657,268
660,269
663,274
668,270
672,271
674,276
675,286
678,294
686,278
692,281
698,280
700,221
721,289
723,293
726,292
728,313
738,303
740,297
741,300
743,302
744,306
746,299
748,23
749,266
751,312
753,295
760,309
775,215
