ebsd_id,mesh_id,confidence
1,1,100.0
5,2,100.0
6,3,88.24
7,4,95.35
8,5,96.67
9,6,96.0
10,7,100.0
11,8,92.11
12,9,97.3
13,10,90.0
14,11,100.0
15,12,91.3
16,13,90.57
17,14,91.67
18,15,81.38
19,16,90.41
20,17,89.57
21,18,96.71
22,19,92.96
23,20,98.82
24,21,94.93
25,22,97.83
26,23,100.0
27,24,95.4
28,25,100.0
29,26,99.38
30,27,95.0
31,28,92.87
32,29,100.0
33,30,88.39
34,31,96.43
35,32,94.24
36,33,95.38
37,34,97.78
38,35,93.43
39,36,97.83
40,37,95.24
41,38,94.93
42,39,100.0
43,40,86.04
44,41,94.55
45,42,96.43
46,43,90.7
47,44,96.36
48,45,91.03
49,46,96.38
50,47,93.48
51,48,100.0
52,49,84.0
53,50,93.33
54,51,97.14
55,52,89.29
56,53,95.84
57,54,96.43
58,55,98.55
59,56,83.33
60,57,90.48
61,58,96.13
62,59,100.0
63,60,94.78
64,61,91.24
65,62,93.75
66,63,97.79
67,64,96.41
68,65,93.85
69,66,86.5
70,67,94.79
71,68,96.3
72,69,96.77
73,70,97.06
74,71,89.68
75,72,98.18
76,73,99.25
77,74,97.44
78,75,92.78
79,76,97.67
80,77,96.67
81,78,96.19
82,79,94.53
83,80,94.57
84,81,96.0
85,82,94.47
86,83,88.24
87,84,100.0
88,85,97.67
89,86,92.96
90,87,91.72
91,88,92.5
92,89,92.0
93,90,98.71
95,91,94.67
96,92,92.68
97,93,94.48
99,94,93.12
100,95,89.23
101,96,95.52
102,97,97.37
103,98,97.65
104,99,95.21
105,100,96.15
106,101,95.62
107,102,100.0
108,103,92.77
109,104,100.0
110,105,89.94
111,106,100.0
112,107,98.03
113,108,100.0
114,109,98.27
115,110,97.73
116,111,93.75
117,112,97.24
118,113,90.91
119,114,94.42
120,115,97.69
121,116,87.86
122,117,89.7
123,118,96.62
124,119,85.83
125,120,97.67
126,121,91.67
127,122,92.73
128,123,91.38
129,124,97.39
130,125,98.54
131,126,94.67
132,127,95.65
133,128,100.0
134,129,100.0
135,130,92.59
136,131,95.65
137,132,97.14
138,133,93.56
139,134,93.03
140,135,97.62
141,136,100.0
142,137,97.78
143,138,96.88
144,139,93.85
145,140,88.28
146,141,92.76
147,142,94.44
148,143,89.36
149,144,91.95
150,145,96.15
151,146,92.0
152,147,93.91
153,148,95.0
154,149,92.68
155,150,91.61
156,151,93.75
157,152,95.83
158,153,92.22
159,154,98.33
160,155,85.22
161,156,94.63
162,157,93.75
163,158,93.33
164,159,93.59
165,160,91.18
166,161,88.81
167,162,94.78
168,163,89.38
169,164,95.48
171,165,90.77
172,166,96.67
173,167,93.76
174,168,86.9
175,169,100.0
176,170,96.35
177,171,98.4
178,172,94.72
179,173,92.14
180,174,99.27
181,175,93.88
182,176,100.0
183,177,96.14
184,178,92.0
185,179,95.48
186,180,92.8
187,181,100.0
188,182,93.85
189,183,90.0
190,184,90.24
191,185,96.3
192,186,97.05
193,187,87.43
194,188,100.0
195,189,94.23
196,190,92.06
197,191,93.75
198,192,91.43
199,193,92.9
200,194,95.45
201,195,100.0
202,196,95.0
203,197,90.18
204,198,82.86
205,199,92.31
206,200,95.65
207,201,98.48
208,202,93.82
209,203,91.3
210,204,98.57
211,205,94.08
212,206,97.02
213,207,98.7
214,208,96.77
215,209,92.27
216,210,91.15
217,211,96.1
218,212,100.0
219,213,93.46
220,214,100.0
221,215,100.0
222,216,96.31
223,217,88.39
224,218,98.4
225,219,96.67
226,220,95.24
227,221,94.44
228,222,100.0
229,223,95.65
230,224,93.51
231,225,92.4
232,226,90.0
233,227,92.69
234,228,91.67
235,229,95.65
236,230,92.73
237,231,98.43
238,232,100.0
239,233,98.67
240,234,90.32
241,235,92.09
242,236,98.06
243,237,96.97
244,238,90.0
245,239,88.97
246,240,91.59
247,241,98.84
248,242,89.89
249,243,95.5
250,244,97.54
251,245,85.71
252,246,98.26
253,247,100.0
254,248,98.11
255,249,99.11
256,250,90.77
257,251,95.14
258,252,100.0
259,253,92.77
260,254,93.91
261,255,100.0
262,256,98.28
263,257,92.86
264,258,94.85
265,259,95.27
266,260,95.24
267,261,88.89
268,262,98.95
269,263,90.8
270,264,98.18
271,265,95.41
272,266,97.78
273,267,95.24
274,268,88.04
275,269,88.52
276,270,92.17
277,271,91.9
278,272,92.59
279,273,98.71
280,274,98.97
281,275,100.0
282,276,98.52
283,277,96.0
284,278,93.85
285,279,96.3
286,280,99.49
287,281,96.21
288,282,99.09
289,283,86.03
290,284,100.0
291,285,94.21
292,286,96.67
293,287,90.68
294,288,98.98
295,289,92.81
296,290,100.0
297,291,89.57
299,292,95.38
300,293,97.5
302,294,93.14
303,295,92.08
304,296,100.0
306,297,94.9
308,298,93.91
309,299,92.26
312,300,94.18
313,301,96.59
315,302,100.0
100001,303,100.0
100002,304,100.0
