ebsd_id,mesh_id,confidence
248,1,3.06
13,2,100.0
19,3,65.0
20,4,90.91
25,5,30.0
27,6,60.61
29,7,45.0
31,8,75.0
35,9,37.04
37,10,63.16
38,11,64.58
49,12,55.17
56,13,65.0
59,14,27.59
64,15,55.56
66,16,65.57
70,17,100.0
74,18,90.91
78,19,62.5
82,20,48.08
99,21,16.13
101,22,62.5
103,23,36.36
110,24,65.52
112,25,56.1
114,26,48.15
119,27,31.43
120,28,50.0
129,29,40.43
133,30,63.64
104,31,42.11
146,32,48.0
166,33,48.57
167,34,46.43
169,35,54.55
173,36,35.59
176,37,37.04
178,38,56.25
190,39,57.89
192,40,56.52
198,41,51.85
202,42,50.0
207,43,33.33
208,44,38.1
211,45,40.43
213,46,73.33
216,47,38.46
219,48,80.0
223,49,50.0
230,50,51.72
242,51,43.75
246,52,84.21
249,53,51.06
259,54,56.0
264,55,56.52
269,56,38.46
271,57,33.33
278,58,46.15
281,59,50.0
286,60,75.0
289,61,100.0
293,62,37.14
294,63,75.86
100001,64,95.65
100002,65,94.96
