ebsd_id,mesh_id,confidence
10,1,100.0
14,2,93.18
16,3,86.67
18,4,100.0
21,5,94.74
22,6,96.67
24,7,94.06
25,8,91.78
26,9,98.0
28,10,93.75
29,11,96.85
30,12,100.0
31,13,100.0
32,14,93.69
33,15,100.0
34,16,100.0
35,17,96.67
36,18,87.1
38,19,100.0
40,20,95.21
42,21,89.66
43,22,100.0
44,23,95.0
47,24,94.2
48,25,93.1
49,26,87.76
50,27,100.0
51,28,93.4
53,29,95.48
54,30,95.65
56,31,98.11
57,32,100.0
58,33,100.0
60,34,100.0
61,35,90.34
62,36,100.0
63,37,91.1
65,38,85.95
68,39,100.0
69,40,92.42
70,41,92.59
71,42,100.0
72,43,96.39
74,44,93.6
75,45,93.33
76,46,93.75
77,47,93.26
78,48,96.63
80,49,100.0
81,50,94.9
82,51,95.45
83,52,92.42
84,53,95.0
85,54,97.73
86,55,100.0
87,56,85.88
89,57,97.06
90,58,85.71
91,59,100.0
93,60,100.0
94,61,98.72
95,62,80.0
96,63,97.5
97,64,96.17
98,65,93.79
101,66,95.14
102,67,96.3
103,68,100.0
104,69,91.07
105,70,100.0
109,71,92.68
110,72,93.75
111,73,95.05
113,74,91.8
114,75,95.11
115,76,83.87
116,77,95.51
119,78,100.0
122,79,90.36
123,80,91.14
124,81,96.97
126,82,100.0
127,83,100.0
128,84,88.61
129,85,91.67
130,86,80.0
131,87,94.62
132,88,91.18
134,89,97.78
135,90,94.64
136,91,81.4
137,92,98.25
139,93,92.19
140,94,95.45
141,95,97.92
142,96,100.0
144,97,87.36
145,98,96.39
146,99,91.3
148,100,100.0
150,101,92.31
151,102,95.0
152,103,85.11
153,104,88.54
154,105,95.26
155,106,94.92
156,107,83.87
157,108,88.1
158,109,88.24
159,110,100.0
161,111,100.0
162,112,97.27
163,113,100.0
166,114,89.58
167,115,88.04
168,116,100.0
169,117,83.12
170,118,90.83
171,119,100.0
172,120,84.51
174,121,100.0
175,122,89.66
176,123,92.5
177,124,93.69
178,125,95.92
181,126,97.22
183,127,93.75
184,128,93.88
185,129,97.06
186,130,100.0
187,131,90.0
188,132,90.05
189,133,85.95
191,134,93.94
192,135,97.0
193,136,90.99
194,137,98.04
196,138,92.41
197,139,98.41
198,140,89.76
199,141,98.04
200,142,84.21
201,143,100.0
202,144,95.45
203,145,95.6
204,146,98.57
205,147,92.5
206,148,85.29
209,149,94.56
211,150,97.22
212,151,100.0
213,152,100.0
214,153,90.62
215,154,77.78
217,155,96.97
219,156,100.0
220,157,92.86
221,158,93.22
222,159,96.92
223,160,95.45
224,161,93.88
225,162,93.98
226,163,92.42
228,164,93.14
229,165,93.15
231,166,92.31
232,167,100.0
233,168,82.28
235,169,76.56
236,170,93.55
237,171,90.93
238,172,95.73
239,173,97.09
243,174,96.59
244,175,89.23
246,176,87.88
247,177,98.94
248,178,94.44
249,179,93.1
250,180,92.86
251,181,88.89
252,182,97.22
253,183,95.35
254,184,100.0
255,185,95.0
257,186,97.83
258,187,90.12
259,188,92.54
261,189,98.01
263,190,98.18
264,191,95.78
265,192,95.43
268,193,93.1
269,194,94.44
270,195,93.24
271,196,97.73
272,197,100.0
273,198,95.0
274,199,92.62
275,200,100.0
276,201,96.44
277,202,86.36
278,203,100.0
279,204,89.44
280,205,91.21
281,206,88.71
282,207,93.75
283,208,97.06
284,209,93.18
286,210,100.0
287,211,82.61
288,212,94.16
289,213,96.36
292,214,91.01
293,215,100.0
296,216,94.74
297,217,97.48
299,218,89.29
300,219,94.57
301,220,100.0
302,221,92.08
303,222,100.0
306,223,96.39
307,224,90.48
308,225,94.52
309,226,84.33
310,227,100.0
311,228,97.96
312,229,100.0
313,230,96.36
314,231,95.65
315,232,100.0
316,233,93.02
317,234,93.46
318,235,88.41
319,236,100.0
320,237,90.91
321,238,96.1
322,239,100.0
323,240,100.0
324,241,97.14
326,242,94.83
328,243,91.42
329,244,94.29
330,245,93.75
331,246,100.0
332,247,96.51
334,248,92.22
335,249,85.42
337,250,90.0
338,251,100.0
340,252,87.72
