ebsd_id,mesh_id,confidence
5,1,100.0
6,2,94.23
8,3,88.33
9,4,95.65
10,5,88.24
11,6,100.0
12,7,84.68
13,8,93.26
14,9,91.14
15,10,91.75
16,11,95.24
17,12,93.33
18,13,98.25
19,14,85.71
20,15,84.42
21,16,99.19
22,17,90.15
23,18,91.23
24,19,96.08
25,20,89.92
26,21,88.31
27,22,89.89
28,23,92.11
29,24,96.04
30,25,83.18
31,26,93.83
32,27,97.96
33,28,91.86
34,29,84.56
35,30,91.73
36,31,96.69
37,32,83.22
38,33,95.21
39,34,100.0
40,35,97.1
41,36,88.47
42,37,92.86
43,38,89.47
44,39,92.37
45,40,94.12
46,41,88.06
47,42,96.67
48,43,88.55
49,44,98.63
50,45,94.89
51,46,93.43
52,47,98.38
53,48,91.89
54,49,92.31
55,50,96.47
56,51,92.31
57,52,98.15
58,53,95.58
59,54,95.41
60,55,98.69
61,56,92.59
62,57,91.96
63,58,96.15
64,59,97.3
65,60,100.0
66,61,90.18
67,62,94.64
68,63,99.28
69,64,89.9
70,65,100.0
71,66,91.51
72,67,88.27
73,68,96.05
74,69,77.22
75,70,100.0
76,71,96.06
77,72,91.57
78,73,93.25
79,74,99.15
80,75,94.74
81,76,95.62
82,77,93.44
83,78,96.51
84,79,94.69
85,80,97.71
86,81,98.28
87,82,97.26
88,83,84.69
89,84,93.94
90,85,95.81
91,86,100.0
92,87,96.55
93,88,96.35
94,89,95.65
95,90,90.48
96,91,93.57
97,92,92.41
98,93,92.54
99,94,91.67
100001,95,99.27
100002,96,100.0
