ebsd_id,mesh_id,confidence
13,1,100.0
25,2,100.0
37,3,87.88
45,4,100.0
48,5,100.0
52,6,95.4
72,7,93.75
74,8,69.23
83,9,100.0
92,10,84.21
103,11,95.24
111,12,100.0
128,13,100.0
134,14,100.0
135,15,100.0
138,16,100.0
141,17,100.0
189,18,86.87
193,19,100.0
213,20,100.0
217,21,100.0
235,22,90.0
237,23,94.79
239,24,100.0
264,25,91.03
281,26,91.11
313,27,94.44
341,28,100.0
385,29,100.0
402,30,100.0
438,31,94.29
440,32,100.0
444,33,75.0
462,34,80.0
538,35,96.43
567,36,75.0
568,37,88.24
599,38,100.0
603,39,73.33
606,40,100.0
607,41,95.83
608,42,70.27
661,43,92.5
666,44,94.93
680,45,100.0
705,46,100.0
739,47,88.89
740,48,100.0
745,49,77.78
753,50,100.0
767,51,100.0
768,52,85.96
769,53,100.0
770,54,100.0
