ebsd_id,mesh_id,confidence
27,1,95.88
35,2,99.15
37,3,95.49
45,4,94.96
47,5,95.24
52,6,95.6
53,7,97.53
56,8,96.47
74,9,100.0
75,10,90.29
77,11,96.0
83,12,96.8
91,13,96.09
92,14,93.84
96,15,94.62
103,16,92.35
117,17,97.83
123,18,96.24
132,19,95.12
135,20,96.38
139,21,97.0
157,22,92.37
162,23,98.26
189,24,97.51
199,25,96.69
201,26,91.3
212,27,93.06
213,28,95.67
215,29,97.41
228,30,96.0
235,31,93.93
237,32,96.67
238,33,97.55
239,34,100.0
263,35,95.41
274,36,96.09
280,37,100.0
281,38,98.14
286,39,95.87
314,40,98.08
338,41,98.48
341,42,97.21
346,43,94.44
365,44,97.8
385,45,98.0
398,46,95.73
400,47,98.86
438,48,95.11
455,49,95.54
462,50,96.83
463,51,96.22
469,52,94.05
486,53,98.01
526,54,97.44
538,55,96.98
568,56,97.49
593,57,97.79
599,58,91.03
604,59,96.0
606,60,94.66
607,61,95.97
639,62,89.86
650,63,94.76
651,64,96.88
661,65,94.96
666,66,98.18
678,67,97.89
685,68,98.46
696,69,97.55
707,70,96.0
708,71,98.84
724,72,95.97
734,73,93.37
745,74,97.32
767,75,98.09
768,76,98.29
769,77,98.57
100001,78,100.0
100002,79,100.0
