ebsd_id,mesh_id,confidence
9,1,65.22
10,2,52.0
11,3,50.0
12,4,78.57
13,5,60.0
14,6,90.0
16,7,87.5
19,8,54.17
20,9,73.91
21,10,100.0
22,11,40.54
24,12,78.12
25,13,100.0
27,14,63.16
29,15,88.68
31,16,60.0
33,17,100.0
34,18,78.95
35,19,58.44
36,20,78.95
37,21,63.33
38,22,75.76
40,23,82.5
41,24,59.46
42,25,85.0
44,26,100.0
46,27,53.85
48,28,65.38
50,29,72.0
51,30,66.67
52,31,93.55
53,32,73.68
54,33,100.0
55,34,100.0
56,35,44.83
57,36,80.0
58,37,65.52
60,38,68.97
62,39,76.32
63,40,85.71
64,41,81.25
66,42,70.27
67,43,53.12
68,44,86.96
72,45,60.81
73,46,79.66
76,47,87.76
77,48,80.0
78,49,60.0
79,50,85.0
81,51,79.55
83,52,78.75
84,53,77.5
85,54,40.91
86,55,89.47
87,56,80.0
89,57,68.75
90,58,100.0
93,59,74.07
96,60,69.7
97,61,68.42
100001,62,90.7
100002,63,92.0
