ebsd_1,ebsd_2
5,25
6,27
8,35
9,37
10,45
11,47
12,52
13,56
14,74
15,77
16,83
17,75
18,92
19,103
20,91
21,53
22,96
23,99
24,173
25,123
26,132
27,135
28,128
29,162
30,201
31,189
32,194
33,193
34,213
35,157
36,212
37,215
38,228
39,227
40,238
41,235
42,243
43,251
44,237
45,263
46,274
47,280
48,286
49,300
50,314
51,281
52,338
53,341
54,365
55,346
56,339
57,385
58,400
59,398
60,438
61,426
62,462
63,444
64,455
65,472
66,643
67,469
68,486
69,489
70,516
71,526
72,538
73,514
74,504
75,615
76,607
77,590
78,606
79,604
80,651
81,661
82,639
83,666
84,650
85,685
86,696
87,684
88,707
89,680
90,708
91,742
92,724
93,678
94,723
95,753
96,734
97,768
98,769
99,770
