g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2,g22_phi_1,g22_Phi,g22_phi_2,g23_phi_1,g23_Phi,g23_phi_2,g24_phi_1,g24_Phi,g24_phi_2,g25_phi_1,g25_Phi,g25_phi_2,g26_phi_1,g26_Phi,g26_phi_2,g27_phi_1,g27_Phi,g27_phi_2,g28_phi_1,g28_Phi,g28_phi_2,g29_phi_1,g29_Phi,g29_phi_2,g30_phi_1,g30_Phi,g30_phi_2,g31_phi_1,g31_Phi,g31_phi_2,g32_phi_1,g32_Phi,g32_phi_2,g33_phi_1,g33_Phi,g33_phi_2,g34_phi_1,g34_Phi,g34_phi_2,g35_phi_1,g35_Phi,g35_phi_2,g36_phi_1,g36_Phi,g36_phi_2,g37_phi_1,g37_Phi,g37_phi_2,g38_phi_1,g38_Phi,g38_phi_2,g39_phi_1,g39_Phi,g39_phi_2,g40_phi_1,g40_Phi,g40_phi_2,g41_phi_1,g41_Phi,g41_phi_2,g42_phi_1,g42_Phi,g42_phi_2,g43_phi_1,g43_Phi,g43_phi_2,g44_phi_1,g44_Phi,g44_phi_2,g45_phi_1,g45_Phi,g45_phi_2,g46_phi_1,g46_Phi,g46_phi_2,g47_phi_1,g47_Phi,g47_phi_2,g48_phi_1,g48_Phi,g48_phi_2,g49_phi_1,g49_Phi,g49_phi_2,g50_phi_1,g50_Phi,g50_phi_2,g51_phi_1,g51_Phi,g51_phi_2,g52_phi_1,g52_Phi,g52_phi_2,g53_phi_1,g53_Phi,g53_phi_2,g54_phi_1,g54_Phi,g54_phi_2,g55_phi_1,g55_Phi,g55_phi_2,g56_phi_1,g56_Phi,g56_phi_2,g57_phi_1,g57_Phi,g57_phi_2,g58_phi_1,g58_Phi,g58_phi_2,g59_phi_1,g59_Phi,g59_phi_2,g60_phi_1,g60_Phi,g60_phi_2,g61_phi_1,g61_Phi,g61_phi_2
2.0453,1.3831,0.017271,1.8271,0.84716,0.82841,3.0159,1.3003,0.13963,2.0681,1.7946,1.1754,2.6184,2.4138,0.48775,2.0831,1.2654,0.20598,2.7442,2.1028,0.24936,2.7422,2.101,0.24153,1.7134,1.4194,6.017,2.0434,1.3858,0.0029241,1.7105,1.4185,6.0089,1.8246,1.8872,0.40662,2.5803,1.0647,0.0090055,2.4888,1.8692,1.1437,2.5451,1.4406,0.85878,2.7445,2.1053,0.24895,2.5282,1.1987,1.1391,2.4192,2.0982,0.43452,2.429,0.86919,0.36056,2.8701,1.6864,1.0802,1.8766,2.0327,1.0193,1.9149,1.908,1.3663,2.6078,1.2754,0.87249,1.9459,2.111,0.78699,1.9336,1.4045,0.7178,2.346,1.7061,0.5232,1.7059,1.4196,6.0065,1.8503,1.1927,6.1288,1.5809,1.9886,0.71577,1.9891,1.4566,0.90334,1.6054,0.81893,1.0903,2.464,1.556,1.46,1.7279,0.8106,1.018,2.3088,1.6825,1.2613,2.8029,1.4214,0.87051,1.7426,1.8097,0.34158,2.5676,1.6241,0.73924,2.234,1.5637,0.022451,1.9541,1.9694,0.61003,2.8541,1.5433,1.0388,2.5984,1.1361,0.66987,2.3396,1.0979,1.081,2.3473,2.111,0.59202,1.7174,1.8999,0.81963,2.5995,1.1379,0.68323,1.3797,1.4662,1.1259,2.8282,1.8148,0.34293,2.6588,1.7028,0.81662,2.1277,1.6745,1.1026,1.5668,1.2451,0.37445,1.8828,1.5241,0.68983,1.5517,2.0077,0.18588,2.3104,1.723,0.74375,2.4566,1.2345,6.1272,3.0435,0.97202,0.00062094,2.1625,1.8819,0.22963,1.7485,1.1184,0.92634,1.8777,1.7432,1.1543,2.0809,0.71905,0.64224,1.4971,1.1397,0.65175,2.4476,1.2372,6.1283
1.0956,1.7498,3.1599,1.3175,2.2907,3.9764,0.12434,1.8411,3.2771,1.0706,1.3434,4.3198,0.5127,0.731,3.6428,1.0545,1.8748,3.3537,0.3862,1.0473,3.3991,0.39361,1.0463,3.3895,1.4285,1.7249,2.8843,1.0976,1.7447,3.1442,1.4328,1.7222,2.8713,1.3199,1.2466,3.5385,0.56761,2.0756,3.156,0.65393,1.2696,4.2827,0.59507,1.7069,4.0035,0.39142,1.0405,3.3973,0.60923,1.9471,4.2786,0.72154,1.0492,3.5788,0.7175,2.2684,3.5101,0.26873,1.4499,4.229,1.2691,1.1058,4.1513,1.229,1.2404,4.5137,0.53515,1.8747,4.0131,1.1966,1.0258,3.9256,1.2135,1.7441,3.8571,0.79564,1.4354,3.6634,1.4383,1.7248,2.8734,1.2936,1.9394,2.9832,1.5608,1.1416,3.8598,1.1522,1.6856,4.0453,1.5295,2.3226,4.2165,0.68126,1.585,4.6043,1.4052,2.3285,4.1403,0.83495,1.4611,4.4158,0.34038,1.729,4.0166,1.4053,1.3298,3.4826,0.57768,1.5176,3.88,0.90843,1.5813,3.1679,1.1937,1.1646,3.7521,0.28877,1.6084,4.1853,0.54922,2.0114,3.814,0.79894,2.0519,4.2217,0.79384,1.0349,3.7426,1.426,1.2378,3.959,0.54472,2.0095,3.8256,1.7644,1.6834,4.2698,0.31557,1.3306,3.4823,0.4867,1.4308,3.9569,1.0077,1.4659,4.2563,1.577,1.896,3.5219,1.2657,1.6204,3.8276,1.5944,1.1407,3.3264,0.83119,1.414,3.8835,0.68037,1.8931,2.9756,0.10169,2.1628,3.1427,0.98029,1.2624,3.3652,1.3913,2.034,4.0755,1.2645,1.398,4.3021,1.067,2.4178,3.7889,1.6438,2.0084,3.79,0.69245,1.8986,2.9872
1.0948,1.742,3.1608,1.3182,2.2874,3.9794,0.12223,1.8398,3.2719,1.0687,1.3417,4.3226,0.50372,0.73589,3.6563,1.0502,1.8735,3.3586,0.37589,1.0568,3.4053,0.38817,1.0531,3.3948,1.4288,1.7253,2.8929,1.1,1.7356,3.1435,1.4343,1.7205,2.8758,1.3239,1.2419,3.5295,0.57686,2.0743,3.1627,0.65413,1.2658,4.2803,0.59631,1.7135,4.0076,0.38586,1.0447,3.4022,0.6074,1.9504,4.2784,0.71939,1.0539,3.5822,0.72072,2.2638,3.5172,0.26763,1.4448,4.2358,1.2743,1.1028,4.142,1.2309,1.2477,4.5187,0.53646,1.8826,4.0125,1.1984,1.0217,3.9225,1.2196,1.7506,3.8552,0.79635,1.436,3.6619,1.4418,1.7255,2.8811,1.2972,1.9301,2.98,1.5606,1.1317,3.8617,1.1528,1.6868,4.0467,1.5235,2.3204,4.2013,0.68449,1.584,4.6068,1.3973,2.3258,4.1233,0.83871,1.463,4.4279,0.34406,1.7373,4.0213,1.4114,1.329,3.4813,0.58296,1.5178,3.879,0.91042,1.5835,3.1722,1.2001,1.1587,3.7524,0.29015,1.6174,4.1907,0.55449,2.0181,3.8157,0.79834,2.0589,4.2224,0.79242,1.0394,3.7515,1.4285,1.2329,3.9566,0.54807,2.0153,3.8267,1.7661,1.69,4.2723,0.31828,1.3341,3.4793,0.49116,1.4218,3.9562,1.0026,1.4647,4.267,1.5801,1.8948,3.5263,1.2715,1.6232,3.8242,1.5993,1.1477,3.3254,0.83213,1.408,3.8808,0.67689,1.8808,2.9698,0.10478,2.1555,3.1422,0.98071,1.266,3.3589,1.3894,2.0422,4.0809,1.2661,1.3974,4.308,1.0731,2.4133,3.7931,1.6429,2.0132,3.7881,0.6912,1.8923,2.9903
1.0939,1.7352,3.1613,1.3167,2.2846,3.9789,0.11984,1.8371,3.2665,1.0675,1.3415,4.3258,0.49649,0.74152,3.6684,1.0463,1.8723,3.3617,0.3674,1.0662,3.4094,0.38363,1.06,3.3986,1.4292,1.7243,2.9002,1.1038,1.7285,3.1433,1.4352,1.7185,2.8801,1.3279,1.2398,3.5225,0.58654,2.0733,3.1696,0.65396,1.2616,4.278,0.59878,1.7203,4.0121,0.38084,1.0485,3.4057,0.60679,1.9528,4.2793,0.71703,1.0576,3.5852,0.7226,2.259,3.5228,0.26737,1.4403,4.2419,1.2793,1.1001,4.1338,1.2324,1.2543,4.5227,0.53758,1.8895,4.0121,1.2004,1.0184,3.9199,1.2251,1.7564,3.8536,0.79715,1.437,3.6603,1.4452,1.725,2.8879,1.301,1.9217,2.9776,1.5602,1.1237,3.8632,1.1538,1.6883,4.0485,1.5183,2.3177,4.1879,0.68702,1.583,4.6089,1.3902,2.3229,4.1094,0.84279,1.4648,4.4384,0.34829,1.7447,4.0256,1.4168,1.3289,3.4798,0.58843,1.5179,3.878,0.91267,1.5852,3.176,1.2058,1.1541,3.7525,0.29165,1.6249,4.196,0.55873,2.0244,3.8168,0.79906,2.0645,4.2235,0.79072,1.0432,3.7591,1.4311,1.228,3.9544,0.55131,2.0206,3.828,1.7673,1.6953,4.2748,0.32122,1.3368,3.476,0.49549,1.4129,3.9558,0.99892,1.4635,4.2757,1.5837,1.8934,3.5288,1.2759,1.6257,3.8215,1.6037,1.1543,3.3247,0.8335,1.4017,3.8775,0.67444,1.8713,2.9674,0.10702,2.1482,3.1411,0.98038,1.27,3.3535,1.3872,2.0476,4.0834,1.2684,1.397,4.313,1.0789,2.4097,3.7968,1.6421,2.0166,3.7878,0.69018,1.8868,2.9948
1.0928,1.7295,3.1614,1.3136,2.282,3.9757,0.11736,1.8334,3.2613,1.0667,1.3423,4.3295,0.49056,0.74746,3.6794,1.0426,1.8711,3.3632,0.36036,1.075,3.412,0.37987,1.0669,3.4013,1.4296,1.7226,2.9064,1.1084,1.7225,3.1436,1.4354,1.7166,2.8841,1.3317,1.2392,3.5173,0.59598,2.0725,3.1763,0.65371,1.2573,4.2757,0.60174,1.7271,4.0167,0.37631,1.0518,3.4085,0.60669,1.9547,4.2807,0.71471,1.0607,3.5879,0.72366,2.2542,3.5274,0.26748,1.4365,4.2475,1.2838,1.0976,4.1265,1.2334,1.2601,4.526,0.53862,1.8955,4.0117,1.2022,1.0157,3.9177,1.2299,1.7615,3.8521,0.79788,1.4384,3.6587,1.4484,1.7241,2.8939,1.3048,1.9142,2.9757,1.5596,1.117,3.8644,1.1548,1.6898,4.0507,1.5136,2.3148,4.1761,0.68903,1.5821,4.6108,1.3839,2.32,4.0977,0.84682,1.4665,4.4477,0.35261,1.7514,4.0296,1.4215,1.3291,3.4782,0.59384,1.518,3.8771,0.91486,1.5867,3.1794,1.2109,1.1502,3.7526,0.29324,1.6313,4.201,0.56233,2.0302,3.8177,0.80044,2.069,4.2247,0.78897,1.0464,3.7659,1.4337,1.2233,3.9524,0.55428,2.0253,3.8293,1.7681,1.6997,4.2772,0.32422,1.3389,3.4728,0.49962,1.4043,3.9555,0.99629,1.4622,4.283,1.5874,1.892,3.53,1.2795,1.6279,3.8191,1.6076,1.1604,3.3241,0.83498,1.3953,3.8738,0.67266,1.8639,2.9674,0.1087,2.141,3.1396,0.9795,1.2741,3.3489,1.3847,2.0512,4.0834,1.2712,1.3971,4.3172,1.0844,2.4068,3.8,1.6416,2.0191,3.7888,0.68933,1.8823,3.0002
1.0916,1.7245,3.1613,1.3095,2.2795,3.9706,0.1149,1.829,3.2564,1.0661,1.3439,4.3336,0.48562,0.75344,3.6893,1.0392,1.8696,3.3635,0.35442,1.0832,3.4134,0.37675,1.0734,3.4033,1.4301,1.7206,2.9116,1.1132,1.7175,3.1443,1.4352,1.7148,2.8877,1.3351,1.2397,3.5136,0.60496,2.0719,3.183,0.65348,1.253,4.2734,0.60483,1.7338,4.0214,0.37223,1.0546,3.4108,0.60676,1.9563,4.2825,0.71252,1.0632,3.5904,0.72416,2.2493,3.5311,0.26774,1.4331,4.2526,1.2879,1.0953,4.12,1.2341,1.2654,4.529,0.53962,1.901,4.0113,1.2038,1.0133,3.9158,1.2342,1.7661,3.8507,0.79851,1.44,3.6573,1.4513,1.7229,2.8994,1.3084,1.9074,2.9743,1.5591,1.1113,3.8656,1.1558,1.6914,4.0529,1.5095,2.312,4.1655,0.69069,1.5812,4.6125,1.3783,2.3171,4.0878,0.85066,1.4683,4.4559,0.35684,1.7576,4.0331,1.4256,1.3293,3.4767,0.59905,1.518,3.8762,0.91686,1.588,3.1823,1.2154,1.1468,3.7526,0.29487,1.6369,4.2059,0.5655,2.0354,3.8185,0.80215,2.0729,4.226,0.78727,1.0491,3.7719,1.4362,1.2189,3.9506,0.55696,2.0295,3.8306,1.7686,1.7036,4.2794,0.32718,1.3406,3.4697,0.50354,1.3959,3.9553,0.99436,1.4608,4.2893,1.5912,1.8906,3.5302,1.2826,1.6299,3.8171,1.6111,1.1661,3.3236,0.83643,1.3889,3.8698,0.67137,1.8582,2.9688,0.10999,2.1341,3.1378,0.97821,1.2783,3.3451,1.3819,2.0534,4.0813,1.2743,1.3976,4.3206,1.0895,2.4043,3.8029,1.6414,2.0211,3.7907,0.68863,1.8787,3.0062
1.0904,1.7201,3.161,1.3046,2.277,3.9641,0.11251,1.8242,3.2517,1.0657,1.346,4.3381,0.48151,0.75932,3.6983,1.0361,1.868,3.363,0.34932,1.0907,3.4141,0.37414,1.0796,3.4047,1.4306,1.7186,2.9161,1.118,1.7131,3.1453,1.4346,1.7133,2.8911,1.3381,1.2409,3.5112,0.61345,2.0716,3.1894,0.65331,1.2488,4.2711,0.60789,1.7402,4.026,0.36856,1.0571,3.4127,0.60686,1.9575,4.2844,0.71049,1.0653,3.5926,0.72429,2.2446,3.5341,0.26807,1.4301,4.2572,1.2916,1.0933,4.1141,1.2346,1.2702,4.5316,0.54061,1.9059,4.011,1.2053,1.0112,3.914,1.2381,1.7702,3.8495,0.79904,1.4416,3.6559,1.454,1.7217,2.9044,1.3119,1.9012,2.973,1.5585,1.1063,3.8666,1.1567,1.6929,4.0552,1.5057,2.3092,4.156,0.69208,1.5803,4.614,1.3733,2.3143,4.0792,0.85427,1.47,4.4634,0.36091,1.7633,4.0364,1.4294,1.3296,3.4752,0.60405,1.5179,3.8753,0.91864,1.5892,3.185,1.2194,1.1438,3.7527,0.29651,1.642,4.2104,0.56835,2.0402,3.8193,0.80399,2.0762,4.2271,0.78565,1.0515,3.7773,1.4386,1.2147,3.9489,0.55937,2.0333,3.8318,1.769,1.707,4.2815,0.33004,1.342,3.4668,0.50723,1.3879,3.955,0.99293,1.4595,4.2948,1.5948,1.8892,3.5296,1.2852,1.6317,3.8153,1.6143,1.1714,3.3231,0.83779,1.3825,3.8657,0.67041,1.854,2.9712,0.11104,2.1274,3.1359,0.97664,1.2823,3.3421,1.3787,2.0548,4.0776,1.2776,1.3984,4.3234,1.0943,2.4022,3.8055,1.6415,2.0226,3.7933,0.68806,1.8761,3.0126
1.089,1.7163,3.1607,1.2993,2.2746,3.9567,0.11023,1.819,3.2474,1.0654,1.3485,4.3429,0.47809,0.76501,3.7064,1.0331,1.8662,3.3619,0.34484,1.0975,3.4143,0.37194,1.0854,3.4057,1.4312,1.7165,2.9201,1.1226,1.7093,3.1466,1.4338,1.7118,2.8943,1.3407,1.2427,3.5098,0.62147,2.0714,3.1956,0.65322,1.2446,4.2687,0.61086,1.7465,4.0305,0.36524,1.0593,3.4144,0.60692,1.9586,4.2864,0.70861,1.0672,3.5946,0.72414,2.2399,3.5366,0.26842,1.4274,4.2616,1.2949,1.0914,4.1087,1.235,1.2745,4.5339,0.5416,1.9103,4.0107,1.2066,1.0093,3.9125,1.2415,1.7739,3.8483,0.79948,1.4433,3.6545,1.4564,1.7204,2.9091,1.3151,1.8955,2.972,1.558,1.1018,3.8676,1.1576,1.6944,4.0575,1.5022,2.3067,4.1474,0.69329,1.5796,4.6154,1.3688,2.3116,4.0717,0.85765,1.4717,4.4702,0.3648,1.7686,4.0393,1.4328,1.3299,3.4738,0.60881,1.5179,3.8744,0.92021,1.5903,3.1873,1.2231,1.141,3.7527,0.29815,1.6465,4.2148,0.57097,2.0446,3.8201,0.80587,2.0791,4.2282,0.78413,1.0535,3.7822,1.4409,1.2108,3.9474,0.56154,2.0367,3.833,1.7693,1.71,4.2834,0.33278,1.3431,3.464,0.51072,1.3802,3.9548,0.99187,1.4581,4.2996,1.5983,1.8879,3.5286,1.2875,1.6333,3.8138,1.6172,1.1763,3.3226,0.83904,1.3763,3.8614,0.6697,1.8508,2.9743,0.11192,2.1209,3.1339,0.97485,1.2863,3.3395,1.3753,2.0555,4.0727,1.281,1.3995,4.3256,1.0989,2.4004,3.8077,1.6418,2.0239,3.7965,0.6876,1.8742,3.019
1.0877,1.7129,3.1603,1.2937,2.2721,3.9487,0.10806,1.8136,3.2433,1.0652,1.3513,4.348,0.47526,0.77047,3.7138,1.0303,1.8643,3.3602,0.34085,1.1037,3.4141,0.37009,1.0909,3.4065,1.4318,1.7144,2.9236,1.1272,1.7059,3.1481,1.4328,1.7106,2.8972,1.343,1.2448,3.5091,0.62903,2.0714,3.2017,0.6532,1.2407,4.2662,0.61373,1.7525,4.0348,0.36223,1.0613,3.4159,0.60695,1.9595,4.2883,0.70689,1.0688,3.5964,0.72379,2.2353,3.5387,0.26878,1.425,4.2655,1.2979,1.0897,4.1038,1.2353,1.2784,4.536,0.54259,1.9144,4.0103,1.2078,1.0077,3.9111,1.2447,1.7773,3.8472,0.79985,1.445,3.6533,1.4587,1.7191,2.9134,1.3183,1.8902,2.9712,1.5575,1.0977,3.8686,1.1584,1.6959,4.0598,1.4991,2.3042,4.1395,0.69435,1.5789,4.6167,1.3647,2.309,4.0652,0.86083,1.4734,4.4763,0.36851,1.7735,4.0421,1.436,1.3301,3.4723,0.61336,1.5178,3.8736,0.9216,1.5913,3.1894,1.2264,1.1385,3.7528,0.29976,1.6506,4.2188,0.5734,2.0485,3.8208,0.80775,2.0817,4.2292,0.78272,1.0552,3.7866,1.4431,1.2072,3.946,0.5635,2.0398,3.8341,1.7695,1.7128,4.2851,0.33542,1.3441,3.4613,0.51402,1.3728,3.9546,0.99111,1.4568,4.3039,1.6018,1.8867,3.5271,1.2895,1.6348,3.8124,1.6199,1.1809,3.3222,0.84017,1.3702,3.8572,0.66918,1.8485,2.9779,0.11268,2.1147,3.1319,0.97291,1.2901,3.3375,1.3717,2.0557,4.0668,1.2844,1.4008,4.3275,1.1031,2.3989,3.8097,1.6423,2.025,3.7999,0.68722,1.873,3.0255
1.0863,1.7098,3.1599,1.288,2.2696,3.9404,0.106,1.8082,3.2396,1.065,1.3544,4.3532,0.47295,0.77569,3.7206,1.0276,1.8622,3.3582,0.33725,1.1093,3.4137,0.36851,1.096,3.4071,1.4324,1.7125,2.9268,1.1315,1.7028,3.1497,1.4316,1.7094,2.9,1.3451,1.2471,3.509,0.6362,2.0715,3.2075,0.65324,1.2368,4.2638,0.61648,1.7583,4.0391,0.35949,1.063,3.4172,0.60694,1.9602,4.2903,0.70529,1.0701,3.5981,0.72328,2.2308,3.5403,0.26915,1.4228,4.2693,1.3006,1.088,4.0993,1.2355,1.282,4.538,0.54357,1.9182,4.01,1.2088,1.0062,3.9099,1.2476,1.7804,3.8462,0.80016,1.4467,3.6521,1.4609,1.7178,2.9174,1.3212,1.8853,2.9706,1.557,1.0941,3.8695,1.1591,1.6973,4.062,1.4962,2.3019,4.1323,0.6953,1.5783,4.6179,1.361,2.3066,4.0593,0.86383,1.475,4.482,0.37203,1.7781,4.0446,1.4389,1.3304,3.471,0.6177,1.5177,3.8728,0.92284,1.5923,3.1912,1.2295,1.1361,3.7529,0.30136,1.6544,4.2227,0.57566,2.0522,3.8215,0.80961,2.0839,4.2301,0.78141,1.0567,3.7906,1.4451,1.2038,3.9448,0.56527,2.0426,3.835,1.7696,1.7154,4.2867,0.33795,1.3449,3.4588,0.51716,1.3658,3.9543,0.99059,1.4555,4.3078,1.6051,1.8856,3.5254,1.2913,1.6362,3.8111,1.6224,1.1851,3.3218,0.8412,1.3643,3.8529,0.66881,1.8469,2.9817,0.11335,2.1087,3.1299,0.97086,1.2938,3.3358,1.368,2.0555,4.0601,1.2878,1.4023,4.329,1.1071,2.3976,3.8115,1.6429,2.0259,3.8036,0.68691,1.8723,3.032
