g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2,g22_phi_1,g22_Phi,g22_phi_2,g23_phi_1,g23_Phi,g23_phi_2,g24_phi_1,g24_Phi,g24_phi_2,g25_phi_1,g25_Phi,g25_phi_2,g26_phi_1,g26_Phi,g26_phi_2,g27_phi_1,g27_Phi,g27_phi_2,g28_phi_1,g28_Phi,g28_phi_2,g29_phi_1,g29_Phi,g29_phi_2,g30_phi_1,g30_Phi,g30_phi_2,g31_phi_1,g31_Phi,g31_phi_2,g32_phi_1,g32_Phi,g32_phi_2,g33_phi_1,g33_Phi,g33_phi_2,g34_phi_1,g34_Phi,g34_phi_2,g35_phi_1,g35_Phi,g35_phi_2,g36_phi_1,g36_Phi,g36_phi_2,g37_phi_1,g37_Phi,g37_phi_2,g38_phi_1,g38_Phi,g38_phi_2,g39_phi_1,g39_Phi,g39_phi_2,g40_phi_1,g40_Phi,g40_phi_2,g41_phi_1,g41_Phi,g41_phi_2,g42_phi_1,g42_Phi,g42_phi_2,g43_phi_1,g43_Phi,g43_phi_2,g44_phi_1,g44_Phi,g44_phi_2,g45_phi_1,g45_Phi,g45_phi_2,g46_phi_1,g46_Phi,g46_phi_2,g47_phi_1,g47_Phi,g47_phi_2,g48_phi_1,g48_Phi,g48_phi_2,g49_phi_1,g49_Phi,g49_phi_2,g50_phi_1,g50_Phi,g50_phi_2,g51_phi_1,g51_Phi,g51_phi_2,g52_phi_1,g52_Phi,g52_phi_2,g53_phi_1,g53_Phi,g53_phi_2,g54_phi_1,g54_Phi,g54_phi_2,g55_phi_1,g55_Phi,g55_phi_2,g56_phi_1,g56_Phi,g56_phi_2,g57_phi_1,g57_Phi,g57_phi_2,g58_phi_1,g58_Phi,g58_phi_2,g59_phi_1,g59_Phi,g59_phi_2,g60_phi_1,g60_Phi,g60_phi_2,g61_phi_1,g61_Phi,g61_phi_2
4.5334,2.0485,3.1607,4.385,2.2697,3.9472,5.4275,2.9809,4.1356,5.2538,1.5745,4.2609,5.8587,2.2023,3.5382,4.5266,2.1335,3.3743,5.6095,2.5775,3.5507,5.599,2.5821,3.5409,4.5291,1.6688,2.8773,4.5289,2.0439,3.1448,4.5283,1.6643,2.8693,5.1003,1.6825,3.5294,4.2189,2.5846,3.1565,5.6536,1.7381,4.2223,5.5169,2.209,4.3487,5.611,2.5778,3.5496,5.5972,2.1321,4.7469,5.5367,2.1417,3.5887,4.4616,2.6,3.6917,5.9842,2.0115,4.4618,5.2238,1.3651,4.0345,5.1294,1.332,4.398,5.5712,2.3009,4.53,5.3549,1.4904,3.7969,4.8385,1.9489,3.9141,5.2616,2.1628,3.7809,4.5303,1.6597,2.8669,4.2979,1.7906,2.9947,5.0422,1.3092,3.8114,4.9858,1.9105,4.1164,4.3404,2.2412,4.1146,5.602,1.6663,4.6542,4.4088,2.2935,4.1069,5.4484,1.6975,4.4086,5.8384,2.2726,4.5721,4.9939,1.6539,3.4743,5.5375,2.2156,4.1422,4.7228,2.234,3.1701,5.2497,1.6713,3.701,5.9513,2.0865,4.5727,5.3684,2.5085,4.4008,5.3353,2.2344,4.6379,5.5618,1.9571,3.6845,5.0465,1.4364,3.9142,5.3849,2.4997,4.4188,4.4951,1.5816,4.2562,5.6288,2.6277,3.8675,5.6931,2.1675,4.2038,5.2569,1.7316,4.2596,4.4065,1.6844,3.4978,4.8803,1.839,3.8615,5.1394,1.4737,3.3106,5.348,2.0045,3.9709,4.2122,2.393,2.9244,4.1189,3.0439,3.1468,5.1549,2.0775,3.392,4.5809,2.0377,4.0776,5.062,1.5435,4.2643,4.3268,2.4724,3.8309,4.319,1.7663,3.7382,4.2183,2.3849,2.9277
4.5341,2.0436,3.1601,4.3826,2.2731,3.9406,5.4205,2.9843,4.1324,5.2546,1.5713,4.2579,5.8497,2.2037,3.5343,4.5147,2.1308,3.3702,5.5907,2.5783,3.5377,5.5835,2.5803,3.5304,4.524,1.6682,2.8731,4.532,2.0346,3.1464,4.5301,1.6623,2.8711,5.1006,1.68,3.5292,4.2171,2.5867,3.1634,5.6589,1.7334,4.218,5.5239,2.2131,4.3555,5.6054,2.5777,3.5411,5.6058,2.14,4.7523,5.5385,2.1445,3.5872,4.4621,2.5973,3.69,5.9962,2.0174,4.4599,5.2312,1.3703,4.0337,5.1302,1.3328,4.4024,5.5819,2.3079,4.5384,5.3595,1.4935,3.7998,4.8353,1.948,3.9126,5.2646,2.1567,3.783,4.5325,1.6639,2.8661,4.3075,1.7923,2.9932,5.0365,1.3163,3.8149,4.9827,1.904,4.1122,4.3378,2.2414,4.1156,5.607,1.6717,4.6502,4.4143,2.2956,4.1038,5.4499,1.689,4.4009,5.8453,2.2726,4.5741,4.9905,1.6525,3.4788,5.5449,2.2166,4.1455,4.7191,2.2287,3.1698,5.2548,1.6725,3.701,5.9551,2.0869,4.5754,5.3696,2.5056,4.4025,5.3367,2.2409,4.6405,5.5614,1.9531,3.6838,5.032,1.4373,3.917,5.376,2.5007,4.4192,4.5011,1.5852,4.2576,5.6341,2.6285,3.8773,5.7021,2.1705,4.2141,5.2486,1.7279,4.2537,4.4014,1.6816,3.5001,4.8841,1.828,3.8618,5.1303,1.4756,3.311,5.3503,2.0007,3.9705,4.2105,2.3923,2.9247,4.127,3.0405,3.1474,5.1595,2.0735,3.39,4.5726,2.0328,4.0728,5.0568,1.5429,4.2642,4.3305,2.4782,3.8295,4.3234,1.7574,3.7401,4.2146,2.3842,2.9256
4.5341,2.0382,3.1591,4.381,2.2762,3.9333,5.4126,2.9876,4.1271,5.2547,1.5681,4.2547,5.8388,2.205,3.5302,4.503,2.1283,3.3661,5.5718,2.5795,3.525,5.5678,2.579,3.5205,4.5196,1.6672,2.8694,4.5345,2.025,3.1479,4.5314,1.6601,2.8729,5.0991,1.6778,3.5293,4.2152,2.5881,3.1713,5.6647,1.7289,4.2141,5.5301,2.2167,4.3625,5.6005,2.5785,3.5331,5.6128,2.1474,4.7565,5.5405,2.146,3.5853,4.4641,2.5945,3.6894,6.008,2.024,4.459,5.2386,1.3758,4.0325,5.1309,1.3329,4.406,5.5913,2.314,4.5456,5.364,1.4968,3.8026,4.8322,1.9452,3.9113,5.2675,2.1495,3.7848,4.5345,1.6664,2.8657,4.3165,1.7929,2.9917,5.0316,1.324,3.8174,4.9795,1.8975,4.1085,4.3347,2.2412,4.1166,5.6119,1.6772,4.6461,4.419,2.2977,4.0989,5.4518,1.6811,4.3943,5.8527,2.272,4.5774,4.9875,1.6512,3.4832,5.5533,2.2175,4.1508,4.7158,2.2227,3.1704,5.2602,1.6746,3.7012,5.9594,2.0869,4.5785,5.372,2.5039,4.406,5.3379,2.247,4.6434,5.5612,1.9494,3.6841,5.0187,1.4376,3.9199,5.3669,2.5014,4.4197,4.5066,1.5883,4.2594,5.6415,2.6299,3.8889,5.7126,2.1732,4.2257,5.2414,1.7246,4.2482,4.3987,1.6782,3.5032,4.8875,1.8168,3.8624,5.121,1.4777,3.3109,5.3539,1.9954,3.9696,4.2061,2.3915,2.9246,4.1397,3.0363,3.1512,5.1651,2.069,3.3883,4.5671,2.0265,4.0685,5.0524,1.5417,4.2645,4.3356,2.4841,3.8285,4.3279,1.7485,3.7417,4.2077,2.3833,2.9225
4.5336,2.0326,3.1578,4.3807,2.2791,3.9259,5.405,2.9905,4.1205,5.2539,1.5651,4.2519,5.8273,2.2059,3.5264,4.4928,2.1263,3.3624,5.5555,2.581,3.5143,5.5542,2.5785,3.5122,4.5164,1.6658,2.8665,4.5357,2.0162,3.1494,4.5325,1.6577,2.8742,5.0958,1.6761,3.5295,4.2132,2.5888,3.179,5.6706,1.7251,4.2108,5.535,2.2196,4.3691,5.5961,2.5797,3.5259,5.6182,2.1537,4.7595,5.5426,2.1465,3.5837,4.467,2.5921,3.6895,6.0186,2.0302,4.4592,5.2451,1.3812,4.0313,5.1316,1.333,4.4087,5.5995,2.3188,4.5515,5.3678,1.4999,3.8052,4.8295,1.9417,3.91,5.2701,2.1426,3.7862,4.5361,1.6679,2.8657,4.3242,1.7931,2.9905,5.0272,1.3312,3.8193,4.9764,1.8917,4.1054,4.3314,2.2408,4.1172,5.6162,1.6823,4.6425,4.4229,2.2997,4.0935,5.4536,1.6741,4.3887,5.8597,2.271,4.5811,4.9848,1.65,3.487,5.5613,2.2184,4.1568,4.713,2.2167,3.1715,5.2651,1.6769,3.7015,5.9632,2.0866,4.5812,5.3743,2.503,4.41,5.3388,2.2522,4.6461,5.5611,1.9465,3.6847,5.0074,1.4377,3.9227,5.3582,2.5019,4.4201,4.5114,1.5906,4.2612,5.6494,2.6314,3.9003,5.723,2.1754,4.2364,5.2356,1.7213,4.2436,4.398,1.6749,3.5065,4.8898,1.8068,3.863,5.1124,1.4796,3.3107,5.3581,1.9901,3.9684,4.1995,2.3907,2.9241,4.1522,3.032,3.1546,5.1705,2.0646,3.3868,4.5649,2.0201,4.065,5.049,1.5407,4.2652,4.3413,2.4895,3.828,4.3323,1.7408,3.7429,4.1989,2.3823,2.9188
4.5328,2.0271,3.1565,4.3817,2.2817,3.9185,5.3977,2.9931,4.113,5.2523,1.5624,4.2493,5.8158,2.2064,3.5231,4.4842,2.1248,3.3591,5.5418,2.5828,3.5056,5.5424,2.5785,3.5053,4.514,1.6641,2.8643,4.5358,2.0082,3.1508,4.5335,1.6554,2.8753,5.091,1.6746,3.5296,4.2113,2.5892,3.1863,5.6763,1.7218,4.208,5.5389,2.2222,4.3753,5.5919,2.5809,3.5191,5.6225,2.1594,4.7618,5.5447,2.1465,3.5823,4.4704,2.5899,3.69,6.0281,2.0359,4.4599,5.2508,1.3862,4.0302,5.1323,1.3331,4.4107,5.6069,2.3229,4.5564,5.3712,1.5028,3.8074,4.8272,1.9379,3.9088,5.2725,2.1361,3.7873,4.5375,1.6687,2.8657,4.3311,1.7929,2.9893,5.0231,1.3378,3.8208,4.9735,1.8864,4.1027,4.3281,2.2402,4.1176,5.62,1.6868,4.6394,4.4264,2.3016,4.088,5.4552,1.6679,4.3836,5.8662,2.2698,4.5847,4.9823,1.6489,3.4902,5.5689,2.2192,4.1628,4.7106,2.211,3.1729,5.2694,1.679,3.7018,5.9667,2.0861,4.5836,5.3765,2.5025,4.4138,5.3397,2.2565,4.6487,5.5609,1.9441,3.6854,4.9974,1.4377,3.9252,5.3501,2.5022,4.4203,4.5156,1.5924,4.2628,5.6574,2.6329,3.9113,5.733,2.1773,4.2465,5.2308,1.7181,4.2397,4.3987,1.672,3.5098,4.8913,1.7979,3.8637,5.1043,1.4815,3.3106,5.3625,1.985,3.967,4.1913,2.3899,2.9235,4.163,3.0278,3.1566,5.1755,2.0607,3.3855,4.5654,2.0136,4.0622,5.0464,1.54,4.2662,4.3474,2.4944,3.828,4.3364,1.734,3.7438,4.1888,2.3813,2.915
4.5318,2.0217,3.1551,4.3837,2.2841,3.9112,5.3906,2.9955,4.1048,5.25,1.5601,4.2471,5.8044,2.2066,3.5202,4.477,2.1237,3.3563,5.5304,2.5848,3.4985,5.5324,2.5789,3.4996,4.5123,1.6623,2.8627,4.5352,2.0007,3.152,4.5345,1.6532,2.8761,5.0851,1.6732,3.5297,4.2093,2.5893,3.1932,5.6819,1.719,4.2056,5.5422,2.2245,4.381,5.588,2.582,3.5128,5.6259,2.1644,4.7635,5.5467,2.146,3.5812,4.474,2.588,3.6908,6.0368,2.0412,4.4609,5.2558,1.3908,4.0292,5.1331,1.3331,4.4123,5.6138,2.3263,4.5608,5.3741,1.5054,3.8094,4.8252,1.9341,3.9076,5.2747,2.1301,3.7883,4.5387,1.6691,2.8658,4.3373,1.7925,2.9883,5.0193,1.3439,3.8221,4.9708,1.8814,4.1003,4.3247,2.2396,4.1177,5.6234,1.6909,4.6366,4.4295,2.3036,4.0825,5.4568,1.6623,4.379,5.8723,2.2686,4.5882,4.98,1.6478,3.4931,5.5761,2.22,4.1688,4.7085,2.2056,3.1744,5.2733,1.6811,3.7021,5.9697,2.0857,4.5857,5.3784,2.5023,4.4174,5.3404,2.2602,4.6512,5.5606,1.942,3.686,4.9885,1.4377,3.9277,5.3424,2.5023,4.4204,4.5193,1.5938,4.2642,5.6651,2.6344,3.9217,5.7425,2.1789,4.2558,5.2266,1.715,4.2363,4.4002,1.6694,3.513,4.8922,1.79,3.8645,5.0966,1.4833,3.3104,5.367,1.9802,3.9655,4.1821,2.3889,2.9229,4.1718,3.0238,3.1569,5.18,2.0571,3.3842,4.568,2.0072,4.0598,5.0444,1.5395,4.2674,4.3537,2.4986,3.8286,4.3403,1.7282,3.7443,4.1778,2.3802,2.9111
4.5307,2.0166,3.1538,4.3864,2.2862,3.9041,5.3838,2.9977,4.0959,5.2473,1.5581,4.245,5.7933,2.2067,3.5178,4.471,2.1228,3.3539,5.5211,2.5868,3.4927,5.5237,2.5796,3.4947,4.511,1.6605,2.8615,4.5339,1.9938,3.1532,4.5354,1.6512,2.8767,5.0783,1.672,3.5298,4.2075,2.5893,3.1997,5.6872,1.7164,4.2035,5.5448,2.2265,4.3864,5.5843,2.5831,3.5067,5.6288,2.169,4.7648,5.5488,2.1453,3.5803,4.4778,2.5862,3.6918,6.0446,2.0461,4.4621,5.2604,1.3952,4.0283,5.1338,1.3332,4.4135,5.6202,2.3293,4.5648,5.3767,1.5079,3.8111,4.8235,1.9304,3.9065,5.2768,2.1246,3.7891,4.5398,1.6693,2.8659,4.3429,1.792,2.9873,5.0155,1.3496,3.8233,4.9683,1.8768,4.0982,4.3212,2.2389,4.1175,5.6265,1.6947,4.6342,4.4323,2.3055,4.0772,5.4582,1.6572,4.3747,5.8781,2.2673,4.5915,4.9779,1.6467,3.4956,5.5829,2.2208,4.1746,4.7065,2.2004,3.1759,5.2769,1.683,3.7024,5.9724,2.0853,4.5876,5.3801,2.5022,4.4208,5.3411,2.2634,4.6535,5.5603,1.9402,3.6866,4.9804,1.4377,3.9299,5.3352,2.5023,4.4205,4.5226,1.595,4.2655,5.6726,2.6359,3.9315,5.7515,2.1804,4.2646,5.223,1.712,4.2333,4.4023,1.6672,3.516,4.8926,1.783,3.8652,5.0893,1.4849,3.3102,5.3715,1.9758,3.964,4.1721,2.3879,2.9222,4.1788,3.02,3.1558,5.1839,2.054,3.3829,4.5724,2.001,4.0576,5.0428,1.5393,4.2687,4.3602,2.5024,3.8298,4.3439,1.7231,3.7447,4.1665,2.3792,2.9073
4.5295,2.0116,3.1525,4.3897,2.2883,3.8971,5.377,2.9997,4.0867,5.2441,1.5563,4.2432,5.7827,2.2067,3.5156,4.4661,2.1222,3.3517,5.5133,2.5889,3.4878,5.5162,2.5804,3.4905,4.51,1.6586,2.8606,4.5323,1.9873,3.1541,4.5361,1.6493,2.8772,5.0709,1.6709,3.5297,4.2057,2.5891,3.2058,5.6922,1.7141,4.2017,5.5471,2.2284,4.3914,5.5806,2.584,3.5009,5.6311,2.1733,4.7658,5.5507,2.1445,3.5797,4.4815,2.5846,3.6928,6.0519,2.0507,4.4634,5.2646,1.3992,4.0274,5.1346,1.3332,4.4144,5.6262,2.3319,4.5683,5.3791,1.5102,3.8127,4.822,1.9267,3.9055,5.2787,2.1194,3.7897,4.5407,1.6693,2.8658,4.3481,1.7914,2.9863,5.0118,1.3548,3.8244,4.966,1.8725,4.0963,4.3178,2.2381,4.1172,5.6292,1.698,4.6321,4.4349,2.3074,4.0719,5.4594,1.6526,4.3707,5.8834,2.266,4.5947,4.9758,1.6456,3.4978,5.5893,2.2217,4.1801,4.7047,2.1955,3.1775,5.2801,1.6848,3.7027,5.9749,2.0849,4.5892,5.3815,2.5022,4.424,5.3417,2.2663,4.6557,5.56,1.9387,3.6871,4.9731,1.4377,3.9321,5.3284,2.5022,4.4206,4.5257,1.5959,4.2668,5.6797,2.6373,3.9409,5.7601,2.1817,4.2728,5.2197,1.709,4.2306,4.4048,1.6652,3.5189,4.8926,1.7766,3.8659,5.0824,1.4865,3.3101,5.3759,1.9718,3.9625,4.1619,2.3869,2.9215,4.1842,3.0164,3.1536,5.1874,2.0513,3.3815,4.578,1.995,4.0554,5.0417,1.5392,4.2701,4.3668,2.5059,3.8314,4.3474,1.7187,3.7449,4.155,2.3781,2.9036
4.5284,2.0069,3.1514,4.3933,2.2901,3.8904,5.3703,3.0015,4.0771,5.2406,1.5547,4.2416,5.7726,2.2066,3.5139,4.462,2.1218,3.3499,5.5068,2.591,3.4837,5.5095,2.5813,3.4868,4.5093,1.6568,2.8599,4.5303,1.9813,3.155,4.5368,1.6475,2.8775,5.0631,1.6698,3.5296,4.2042,2.5888,3.2117,5.6969,1.712,4.2002,5.549,2.2301,4.396,5.5771,2.5848,3.4954,5.6332,2.1772,4.7665,5.5525,2.1436,3.5791,4.4852,2.5831,3.6939,6.0585,2.055,4.4647,5.2683,1.4029,4.0266,5.1354,1.3333,4.4152,5.632,2.3341,4.5716,5.3811,1.5123,3.8141,4.8207,1.9231,3.9045,5.2805,2.1146,3.7903,4.5416,1.6693,2.8658,4.3529,1.7908,2.9854,5.0083,1.3596,3.8255,4.9638,1.8684,4.0945,4.3143,2.2373,4.1168,5.6317,1.7011,4.6303,4.4372,2.3093,4.0669,5.4606,1.6483,4.3669,5.8884,2.2648,4.5976,4.9738,1.6446,3.4999,5.5953,2.2226,4.1854,4.703,2.1908,3.1789,5.2831,1.6864,3.703,5.9771,2.0845,4.5908,5.3828,2.5021,4.4269,5.3422,2.2688,4.6577,5.5596,1.9373,3.6875,4.9664,1.4378,3.9341,5.322,2.502,4.4206,4.5285,1.5967,4.2679,5.6865,2.6386,3.9497,5.7683,2.1828,4.2805,5.2167,1.7062,4.2281,4.4074,1.6635,3.5216,4.8924,1.7708,3.8666,5.0759,1.4879,3.3099,5.3801,1.9681,3.9609,4.1515,2.386,2.9209,4.1881,3.0131,3.1504,5.1903,2.049,3.3802,4.5847,1.9892,4.0533,5.0408,1.5393,4.2715,4.3734,2.5089,3.8334,4.3506,1.715,3.745,4.1435,2.377,2.9001
4.5274,2.0023,3.1504,4.3972,2.2919,3.8838,5.3636,3.0032,4.0672,5.2368,1.5533,4.2402,5.7629,2.2064,3.5124,4.4586,2.1214,3.3483,5.5014,2.593,3.4801,5.5036,2.5822,3.4835,4.5088,1.655,2.8594,4.5281,1.9756,3.1557,4.5374,1.6459,2.8778,5.0549,1.6688,3.5294,4.2028,2.5885,3.2174,5.7013,1.7101,4.1989,5.5506,2.2318,4.4003,5.5737,2.5855,3.4902,5.6349,2.1808,4.767,5.5543,2.1425,3.5787,4.4887,2.5818,3.695,6.0647,2.059,4.4661,5.2718,1.4063,4.0258,5.1361,1.3334,4.4158,5.6376,2.3361,4.5746,5.383,1.5143,3.8153,4.8197,1.9197,3.9036,5.2822,2.1101,3.7908,4.5423,1.6691,2.8657,4.3574,1.7901,2.9846,5.0048,1.3641,3.8265,4.9618,1.8645,4.0929,4.3109,2.2366,4.1162,5.634,1.7039,4.6286,4.4392,2.3111,4.0619,5.4617,1.6443,4.3632,5.8932,2.2636,4.6004,4.9719,1.6436,3.5018,5.6011,2.2235,4.1905,4.7014,2.1864,3.1804,5.2859,1.6879,3.7033,5.9791,2.0842,4.5922,5.3839,2.5021,4.4297,5.3427,2.2711,4.6596,5.5592,1.936,3.6879,4.9602,1.4379,3.936,5.3159,2.5018,4.4207,4.5311,1.5973,4.2689,5.693,2.6399,3.9581,5.7762,2.1839,4.2878,5.214,1.7034,4.2258,4.4101,1.662,3.5241,4.8919,1.7656,3.8673,5.0698,1.4893,3.3098,5.3843,1.9646,3.9594,4.1412,2.385,2.9203,4.1909,3.01,3.1465,5.1928,2.047,3.3788,4.592,1.9836,4.0512,5.0401,1.5395,4.2728,4.3799,2.5117,3.8357,4.3537,1.7117,3.7451,4.1322,2.376,2.8967
